mun,ano,rf_veiculo,rf,homicidio_doloso,lcd,estupro,id_municipio,pop,gm,gm_ano,tx_rf_veiculo,tx_rf,tx_homicidio_doloso,tx_lcd,tx_estupro,pre_treated,treat
Cardoso,2001,3,127,1,128,0,3510708,11513,0,NA,26.057500217145837,1103.1008425258403,8.685833405715279,1111.7866759315557,0,0,0
Casa Branca,2001,23,299,1,253,2,3510807,26974,0,NA,85.26729443167494,1108.4748276117743,3.7072736709423886,937.9402387484245,7.414547341884777,0,0
Cássia dos Coqueiros,2001,1,31,0,19,0,3510906,2890,0,NA,34.602076124567475,1072.6643598615917,0,657.439446366782,0,0,0
Castilho,2001,4,205,3,61,0,3511003,14988,0,NA,26.68801708033093,1367.7608753669601,20.016012810248196,406.9922604750467,0,0,0
Catanduva,2001,66,142,4,931,6,3511102,107612,1,2004,61.33145002416088,131.95554399137643,3.7170575772218712,865.1451510983906,5.575586365832806,0,0
Catiguá,2001,0,20,0,21,1,3511201,6596,0,NA,0,303.21406913280777,0,318.3747725894481,15.16070345664039,0,0
Cedral,2001,4,76,1,20,0,3511300,6811,0,NA,58.72852738217589,1115.842020261342,14.682131845543973,293.64263691087945,0,0,0
Cerqueira César,2001,2,202,0,192,1,3511409,15424,0,NA,12.966804979253112,1309.6473029045644,0,1244.8132780082988,6.483402489626556,0,0
Cerquilho,2001,58,406,3,242,8,3511508,30670,1,1993,189.10987936093903,1323.7691555265733,9.781545484186502,789.0446690577112,26.084121291164003,1,0
Cesário Lange,2001,17,86,0,63,0,3511607,13047,1,2001,130.2981528320687,659.1553613857592,0,482.8696252011957,0,0,1
Charqueada,2001,12,100,0,109,0,3511706,13279,1,1980,90.36825062128173,753.0687551773477,0,820.844943143309,0,1,0
Chavantes,2001,8,147,2,72,2,3557204,12248,0,NA,65.31678641410844,1200.1959503592423,16.32919660352711,587.8510777269759,16.32919660352711,0,0
Clementina,2001,2,24,0,50,0,3511904,5462,0,NA,36.61662394727206,439.3994873672647,0,915.4155986818015,0,0,0
Colina,2001,11,302,1,176,0,3512001,16747,0,NA,65.68340598316115,1803.308055174061,5.971218725741924,1050.9344957305784,0,0,0
Colômbia,2001,2,65,3,34,1,3512100,6038,0,NA,33.123550844650545,1076.5154024511428,49.68532626697582,563.1003643590593,16.561775422325272,0,0
Conchal,2001,50,662,3,215,4,3512209,23047,1,1986,216.94797587538508,2872.3912005900984,13.016878552523105,932.8762962641559,17.355838070030806,1,0
Conchas,2001,27,125,4,117,2,3512308,15275,1,1985,176.75941080196398,818.3306055646482,26.18657937806874,765.9574468085106,13.09328968903437,1,0
Cordeirópolis,2001,35,261,1,108,0,3512407,18108,1,1978,193.2847360282748,1441.3518886679922,5.52242102937928,596.4214711729622,0,1,0
Coroados,2001,6,53,0,27,0,3512506,4461,0,NA,134.49899125756556,1188.0744227751625,0,605.2454606590451,0,0,0
Coronel Macedo,2001,2,17,1,31,0,3512605,5564,0,NA,35.94536304816679,305.5355859094177,17.972681524083395,557.1531272465852,0,0,0
Corumbataí,2001,4,38,0,16,0,3512704,3875,0,NA,103.22580645161291,980.6451612903226,0,412.90322580645164,0,0,0
Cosmópolis,2001,185,784,14,218,5,3512803,45345,1,1969,407.983239607454,1728.9668100121291,30.874407321645162,480.75862829418907,11.026574043444702,1,0
Cosmorama,2001,3,61,1,57,2,3512902,7315,0,NA,41.01161995898838,833.9029391660971,13.670539986329459,779.2207792207793,27.341079972658918,0,0
